field_name,job_role,required_languages,required_skills
Artificial Intelligence,Edge-based Federated ML Developer,"Python, C, C++, Java, Swift","On-device training, model quantization, resource optimization, latency reduction, communication protocols, hardware constraints, deployment, debugging, system design, collaboration"
Artificial Intelligence,Secure Aggregation Engineer,"Python, C++, Java, Go","Cryptography, secure multi-party computation, protocol design, distributed systems, encryption, differential privacy, performance optimization, debugging, collaboration"
Artificial Intelligence,FL Systems Architect,"Python, Java, Go, Bash, C++","System design, scalability, architecture planning, distributed systems, cloud computing, networking, security, performance tuning, cross-team leadership, documentation"
Artificial Intelligence,Differential Privacy in FL Specialist,"Python, R, C++","Differential privacy, noise calibration, privacy budgets, statistical analysis, cryptography, algorithm development, theoretical modeling, experiment design, collaboration"
Artificial Intelligence,FL for Mobile Devices Developer,"Python, Swift, Kotlin, Java, C++","On-device training, model quantization, performance optimization, mobile OS integration, energy efficiency, network optimization, deployment, debugging, collaboration"
Artificial Intelligence,FL Applications Engineer,"Python, Java, C#, JavaScript","Use-case analysis, application integration, model deployment, user requirements gathering, cross-functional communication, performance tuning, testing, debugging, project management"
Artificial Intelligence,Cross-device Federated AI Engineer,"Python, C++, Swift, Kotlin, Java","Cross-device communication, asynchronous training, fault tolerance, network optimization, security, resource management, scalability, debugging, collaboration"
Artificial Intelligence,Edge AI Engineer,"C, C++, Python, Rust, Java","model quantization, latency optimization, real-time inference, edge deployment, hardware-software integration, performance profiling, power management, networking, debugging, collaboration"
Artificial Intelligence,Embedded AI Developer,"C, C++, Python, Assembly, Rust","embedded programming, memory management, real-time systems, cross-compilation, sensor integration, model pruning, kernel optimization, debugging, teamwork, problem-solving"
Artificial Intelligence,AI-on-Chip Engineer,"VHDL, Verilog, SystemVerilog, C++, Python","hardware design, digital logic, RTL design, high-level synthesis, circuit optimization, verification, FPGA prototyping, resource allocation, power-area trade-offs, cross-disciplinary collaboration"
Artificial Intelligence,Edge ML Optimization Specialist,"Python, C++, C, Assembly, CUDA","model compression, pruning, quantization, kernel fusion, compiler optimization, profiling, hardware acceleration, performance tuning, benchmarking, collaboration"
Artificial Intelligence,Real-time Inference Systems Developer,"C, C++, Python, Rust, Go","real-time scheduling, low-latency optimization, multi-threading, IPC, hardware acceleration, performance monitoring, debugging, system integration, documentation, teamwork"
Artificial Intelligence,Edge AI Hardware Specialist,"VHDL, Verilog, SystemC, C, C++, Python","PCB design, FPGA development, ASIC design, DSP, hardware testing, power management, signal integrity, prototyping, collaboration, communication"
Artificial Intelligence,Edge Computer Vision Engineer,"C++, Python, C, Java","image processing, feature extraction, object detection, model deployment, optimization, hardware acceleration, real-time video processing, camera interfacing, debugging, teamwork"
Artificial Intelligence,IoT + AI Integration Engineer,"Python, C, C++, JavaScript, Rust","IoT protocol integration, sensor fusion, edge deployment, security, data processing, real-time analytics, network optimization, debugging, cross-disciplinary collaboration, project coordination"
Artificial Intelligence,Edge DL Engineer,"Python, C++, CUDA, C, Rust","Deep learning model design, quantization, layer fusion, compiler optimizations, GPU acceleration, profiling, latency reduction, hardware-aware tuning, collaboration, problem-solving"
Artificial Intelligence,Autonomous Edge Systems Developer,"C++, Python, Java, Rust, C","Autonomy algorithm integration, sensor fusion, SLAM, mapping, real-time control, deployment, testing, safety validation, debugging, teamwork"
Artificial Intelligence,TinyML Specialist,"C, C++, Python, Assembly, Rust","Model compression, quantization, energy-efficient inference, microcontroller programming, memory optimization, real-time constraints, sensor interfacing, debugging, collaboration, documentation"
Artificial Intelligence,Edge AI Product Architect,"Python, JavaScript, C++, Go, Java","System architecture, requirement analysis, scalability planning, tech stack selection, prototyping, vendor evaluation, performance benchmarking, cross-functional communication, product roadmap planning"
Artificial Intelligence,MLOps Engineer,"Python, Go, Bash, YAML, SQL","CI/CD, containerization, orchestration, automation, monitoring, version control, pipeline development, scripting, troubleshooting, collaboration"
Artificial Intelligence,AI/ML Infrastructure Engineer,"Python, Go, Java, Bash, Scala","Infrastructure design, cloud computing, container orchestration, automation, scaling, security, networking, scripting, monitoring, cross-team collaboration"
Artificial Intelligence,Machine Learning Deployment Engineer,"Python, Java, C#, JavaScript, Bash","Model packaging, containerization, orchestration, performance optimization, A/B testing, logging, deployment, troubleshooting, collaboration"
Artificial Intelligence,AI Model Monitoring Specialist,"Python, SQL, Bash, R, Go","Monitoring, anomaly detection, alerting, metrics design, logging, data analysis, troubleshooting, stakeholder communication, continuous improvement, automation"
Artificial Intelligence,Model Operations (ModelOps) Engineer,"Python, Java, Go, Bash, YAML","Lifecycle management, governance, pipeline automation, compliance, versioning, CI/CD, monitoring, collaboration, risk management"
Artificial Intelligence,ML CI/CD Pipeline Developer,"Python, Groovy, YAML, Bash, Java","Pipeline design, automation, testing, integration, containerization, version control, scripting, documentation, collaboration"
Artificial Intelligence,AI Reliability Engineer,"Python, Go, Java, Bash, SQL","Reliability engineering, SLO/SLI/SLA design, chaos engineering, capacity planning, monitoring, incident response, root cause analysis, automation, collaboration"
Artificial Intelligence,AIOps Platform Engineer,"Python, Go, Java, Scala, Bash","Observability, automation, incident management, anomaly detection, log analytics, infrastructure as code, container orchestration, CI/CD, troubleshooting, collaboration"
Artificial Intelligence,Data Versioning & Governance Engineer,"Python, SQL, Scala, Java, R","Data versioning, metadata management, data lineage, governance frameworks, quality assurance, schema design, documentation, compliance, collaboration, problem-solving"
Artificial Intelligence,AI/ML DevOps Specialist,"Python, Go, Bash, YAML, Java","CI/CD, containerization, orchestration, automation, model deployment, monitoring, version control, scripting, security best practices, teamwork"
Artificial Intelligence,Scalable ML Systems Architect,"Python, Java, Scala, Go, SQL","System architecture, scalability, distributed systems, microservices, data pipelines, performance optimization, cost optimization, capacity planning, stakeholder communication, leadership"
Artificial Intelligence,ML Workflow Automation Engineer,"Python, Bash, Groovy, YAML, Java","Workflow orchestration, automation, pipeline development, scheduling, monitoring, debugging, version control, CI/CD, documentation, collaboration"
Web Development,Frontend Developer,"JavaScript,TypeScript,HTML,CSS","Responsive design,UI/UX design,Accessibility,Cross-browser compatibility,Debugging,Performance optimization,CSS pre-processing,Component-based architecture,Communication,Collaboration"
Web Development,UI Developer,"JavaScript,TypeScript,HTML,CSS","UI/UX design,Accessibility,Responsive design,Prototyping,Wireframing,Collaboration,Communication,Attention to detail,Problem-solving,User research"
Web Development,JavaScript Developer,"JavaScript,TypeScript,HTML,CSS","Asynchronous programming,Event-driven architecture,Debugging,Performance optimization,API integration,Cross-browser compatibility,Problem-solving,Version control,Collaboration,Communication"
Web Development,React.js Developer,"JavaScript,TypeScript,HTML,CSS","Component-based architecture,State management,Hooks,Performance optimization,Debugging,API integration,Testing,Responsive design,Communication,Collaboration"
Web Development,Angular Developer,"TypeScript,JavaScript,HTML,CSS","Component-based architecture,Dependency injection,Reactive programming,Routing,Forms management,Testing,Performance optimization,Debugging,Collaboration,Communication"
Web Development,Vue.js Developer,"JavaScript,TypeScript,HTML,CSS","Component-based architecture,Reactive data binding,State management,Routing,Composition API,Testing,Debugging,Performance optimization,Collaboration,Communication"
Web Development,HTML/CSS Specialist,"HTML,CSS,JavaScript","Responsive design,Accessibility,Semantic markup,CSS architecture (BEM),Cross-browser compatibility,Flexbox/Grid,Performance optimization,Debugging,Attention to detail,Collaboration"
Web Development,Web UI Engineer,"JavaScript,TypeScript,HTML,CSS","Component-based architecture,UI/UX design,Responsive design,Accessibility,Performance optimization,Debugging,API integration,Collaboration,Communication"
Web Development,Mobile Web Interface Developer,"JavaScript,TypeScript,HTML,CSS","Responsive design,Touch optimization,Progressive Web Apps,Cross-platform compatibility,Performance optimization,Offline support,Debugging,UI/UX design,Accessibility,Communication"
Web Development,Frontend Performance Engineer,"JavaScript,TypeScript,HTML,CSS","Code splitting,Lazy loading,Caching strategies,Minification,Tree shaking,Profiling,Critical rendering path,Network optimization,Monitoring,Collaboration"
Web Development,CSS/Animation Developer,"CSS,Sass,Less,JavaScript","Keyframe animations,Transitions,Timing functions,SVG animations,Responsive design,Animation performance,CSS architecture (BEM),Prototyping,Creativity,Attention to detail"
Web Development,Frontend Accessibility Engineer,"HTML,CSS,JavaScript,ARIA","WCAG guidelines,Semantic HTML,Keyboard navigation,ARIA roles,Contrast testing,Assistive technologies,Accessibility auditing,User testing,Communication,Empathy"
Web Development,Backend Developer,"Java,Python,Go,Ruby,SQL","RESTful architecture,Database design,Scalability,Security,Concurrency,Testing,Debugging,CI/CD,Version control,Problem-solving"
Web Development,API Developer,"JavaScript,Python,Java,Go,Ruby","RESTful design,Authentication/Authorization,Rate limiting,Versioning,Documentation,Error handling,Testing,Monitoring,Security,Collaboration"
Web Development,Node.js Backend Engineer,"JavaScript,TypeScript,SQL,NoSQL","Event-driven architecture,Asynchronous programming,API development,Microservices,Error handling,Testing,Performance tuning,Logging,Security,Collaboration"
Web Development,Python/Django Backend Developer,"Python,SQL,JavaScript","MVC architecture,ORM,Authentication,REST framework,Migrations,Unit testing,Security,Caching,Debugging,Collaboration"
Web Development,Java Spring Developer,"Java,Kotlin,SQL","Dependency injection,ORM,Microservices,REST APIs,Security,Transaction management,Testing,Configuration,Performance tuning,Collaboration"
Web Development,PHP Backend Developer,"PHP,SQL,JavaScript","MVC architecture,ORM,Routing,Authentication,Error handling,Security,Testing,Caching,Dependency management,Collaboration"
Web Development,Ruby on Rails Developer,"Ruby,SQL,JavaScript","MVC architecture,ActiveRecord,RESTful routes,Authentication,Background jobs,Testing,Migrations,Security,Caching,Collaboration"
Web Development,RESTful Services Engineer,"Java,Python,Go,Ruby,JavaScript","API design,Versioning,Authentication/Authorization,Error handling,Documentation,Testing,Monitoring,Rate limiting,Security,Collaboration"
Web Development,Microservices Backend Engineer,"Java,Go,Python,JavaScript,Rust","Service decomposition,Event-driven architecture,Circuit breaker,Service discovery,Scalability,Resilience,Containerization,CI/CD,Monitoring,Collaboration"
Web Development,Backend Systems Architect,"Java,Python,Go,Rust,SQL","System design,Scalability,High availability,Load balancing,Security,Microservices,Distributed systems,Caching strategies,Messaging patterns,Team leadership"
Web Development,Database-Driven Web Developer,"SQL,Python,PHP,Ruby,JavaScript","Database modeling,ORM,Query optimization,ACID transactions,Schema design,Indexing,Backup & recovery,Security,Data migration,Collaboration"
Web Development,Cloud-Native Backend Engineer,"Go,Java,Python,JavaScript,TypeScript","Cloud architecture,Serverless computing,Container orchestration,Infrastructure as code,Scalability,Observability,CI/CD,Security,Cost optimization,Collaboration"
Web Development,Full?Stack Developer,"JavaScript,Python,Java,SQL,NoSQL","RESTful APIs,MVC/MVVM architectures,Responsive design,Database design,Authentication/Authorization,DevOps practices,Testing (unit/integration),Performance optimization,Problem-solving,Collaboration"
Web Development,MERN Stack Developer,"JavaScript,TypeScript,HTML,CSS,NoSQL","RESTful APIs,Component-based architecture,State management,Asynchronous programming,Authentication,CRUD operations,Database modeling,Routing,Testing,Collaboration"
Web Development,MEAN Stack Developer,"JavaScript,TypeScript,HTML,CSS,NoSQL","Component-based architecture,Dependency injection,Routing,Forms management,RESTful APIs,Authentication,CRUD operations,Database modeling,Testing,Collaboration"
Web Development,LAMP Stack Developer,"PHP,MySQL,HTML,CSS,JavaScript","MVC architecture,Server configuration,Database design,RESTful APIs,Authentication,Session management,Security (XSS/SQLi),Caching,Debugging,Collaboration"
Web Development,Full?Stack JavaScript Engineer,"JavaScript,TypeScript,HTML,CSS,NoSQL","RESTful APIs,Component-based architecture,Asynchronous programming,State management,Authentication,Database design,Testing,Performance optimization,DevOps basics,Collaboration"
Web Development,Python Full?Stack Developer,"Python,JavaScript,HTML,CSS,SQL","MVC architecture,RESTful APIs,ORM,Authentication,Template engines,Database design,Asynchronous tasks,Testing,Deployment (WSGI/ASGI),Collaboration"
Web Development,Web Application Developer,"JavaScript,Python,Java,SQL,HTML","MVC/MVVM,RESTful APIs,Responsive design,Database integration,Authentication,Testing,Debugging,Performance tuning,Collaboration,Problem-solving"
Web Development,Full?Stack Cloud Engineer,"JavaScript,Python,Go,SQL,TypeScript","Cloud architecture,Serverless design,Infrastructure as Code,Container orchestration,Scalability,Security,Monitoring,CI/CD,Automation,Collaboration"
Web Development,End-to-End Web Engineer,"JavaScript,TypeScript,Python,SQL,NoSQL","API design,UI/UX integration,Database modeling,Security,Testing (unit/integration/e2e),Deployment automation,Monitoring,Performance optimization,Debugging,Collaboration"
